t_date,item_code
10.10.2018,DELTA
10.10.2018,ZEILTA
10.10.2018,LEILA RESTORANT
09.10.2018,HOHOR01
09.10.2018,DOKO GIDA
09.10.2018,DELTA
08.10.2018,EPSILON
08.10.2018,EPSILON
03.10.2018,ALPHA
30.09.2018,DELTA
30.09.2018,CAROUSEL
30.09.2018,E01TA
30.09.2018,CAROUSEL
30.09.2018,SOLAR
30.09.2018,IOTA
30.09.2018,DELTA
30.09.2018,BLACK AND WHITE
28.09.2018,DELTA
28.09.2018,DOMINOS PIO1ZZA KAYISD
27.09.2018,IOTA
27.09.2018,DELTA
26.09.2018,DELTA
24.09.2018,ZEILTA
24.09.2018,DELTA
24.09.2018,OMICRON
24.09.2018,ALPHA
10.09.2018,KILYOS OGRENCI YURDU
03.09.2018,RHO
29.08.2018,LEILA RESTORANT
28.08.2018,LEILA RESTORANT
27.08.2018,ALPHA
20.08.2018,OMICRON
20.08.2018,RHO
20.08.2018,RHO
20.08.2018,E01TA
17.08.2018,LEYLA KABATAS
17.08.2018,BLACK AND WHITE
16.08.2018,ZEILTA
16.08.2018,RHO
15.08.2018,OMICRON
15.08.2018,IST.ICERENKOY USKUDA
13.08.2018,TELTA
10.08.2018,IOTA
09.08.2018,SOLAR
09.08.2018,BLACK AND WHITE
09.08.2018,IOTA
08.08.2018,BLACK AND WHITE
08.08.2018,ZEILTA
08.08.2018,RHO
07.08.2018,BLACK AND WHITE
07.08.2018,ZEILTA
06.08.2018,IOTA
06.08.2018,OMICRON
06.08.2018,EPSILON
06.08.2018,IOTA
02.08.2018,IOTA
01.08.2018,DELTA
01.08.2018,EPSILON
01.08.2018,IOTA
30.07.2018,ALPHA
27.07.2018,DOKO GIDA
27.07.2018,IOTA
26.07.2018,IOTA
26.07.2018,DELTA
26.07.2018,RHO
25.07.2018,OMICRON
25.07.2018,IOTA
25.07.2018,IOTA
24.07.2018,ZEILTA
24.07.2018,RHO
24.07.2018,EPSILON
23.07.2018,ZEILTA
23.07.2018,RHO
23.07.2018,EPSILON
23.07.2018,COLLEZZINE
23.07.2018,DELTA
23.07.2018,EPSILON
23.07.2018,DOKO GIDA
20.07.2018,DOKO GIDA
20.07.2018,EPSILON
19.07.2018,KATIBIM RESTAURANT T
19.07.2018,KATIBIM RESTAURANT T
19.07.2018,IOTA
19.07.2018,EMIN FIRIN
18.07.2018,DELTA
18.07.2018,ALPHA
18.07.2018,OMICRON
18.07.2018,BLACK AND WHITE
18.07.2018,EPSILON
18.07.2018,COLLEZZINE
18.07.2018,ZEILTA
17.07.2018,EPSILON
17.07.2018,DOKO GIDA
17.07.2018,EPSILON
16.07.2018,COLLEZZINE
13.07.2018,MCDONALTS
13.07.2018,IOTA
12.07.2018,MIGROS MODA
12.07.2018,IOTA
10.07.2018,BLACK AND WHITE
09.07.2018,IOTA
04.07.2018,ALPHA
03.07.2018,DELTA
30.06.2018,COLLEZZINE
28.06.2018,ZEILTA
28.06.2018,LIVERPOOL CAFE
28.06.2018,ER MAZ GIDA URETIM P
27.06.2018,EPSILON
21.06.2018,HUSEYIN GONENC
18.06.2018,ALPHA
18.06.2018,ZEILTA
11.06.2018,IOTA
11.06.2018,BLACK AND WHITE
11.06.2018,DEPO COFFEE
08.06.2018,RHO
08.06.2018,IOTA
08.06.2018,JR GRUP GIDA SAN.IC
08.06.2018,OMICRON
07.06.2018,BLACK AND WHITE
07.06.2018,ZEILTA
06.06.2018,ZEILTA
06.06.2018,OMICRON
06.06.2018,IOTA
04.06.2018,DEPO COFFEE
04.06.2018,COLLEZZINE
04.06.2018,EPSILON
01.06.2018,EPSILON
31.05.2018,ALPHA
30.05.2018,IOTA
29.05.2018,IOTA
25.05.2018,BLACK AND WHITE
24.05.2018,PIO1
23.05.2018,MALIBUS BUFE
23.05.2018,IOTA
22.05.2018,COLLEZZINE
21.05.2018,PIO1
21.05.2018,COLLEZZINE
21.05.2018,IOTA
21.05.2018,CAROUSEL
21.05.2018,EPSILON
18.05.2018,MALIBUS BUFE
17.05.2018,BLACK AND WHITE
17.05.2018,DELTA
17.05.2018,OMICRON
16.05.2018,DEPO COFFEE
16.05.2018,OMICRON
16.05.2018,OMICRON
16.05.2018,IOTA
16.05.2018,IOTA
15.05.2018,OMICRON
15.05.2018,IOTA
14.05.2018,ZEILTA
14.05.2018,DEPO COFFEE
14.05.2018,DELTA
14.05.2018,OMICRON
14.05.2018,ZEILTA
14.05.2018,FIYUU RESTAURANT
14.05.2018,EPSILON
14.05.2018,BLACK AND WHITE
11.05.2018,DELTA
11.05.2018,SOLAR
10.05.2018,KAPPA
10.05.2018,KEMERLI
10.05.2018,IOTA
09.05.2018,KILIC GIDA TUR.ITH.I
09.05.2018,EPSILON
09.05.2018,CAROUSEL
09.05.2018,SOLAR
09.05.2018,SOLAR
09.05.2018,SOLAR
07.05.2018,DEPO COFFEE
07.05.2018,ZEILTA
04.05.2018,DELTA
04.05.2018,E01TA
04.05.2018,BLACK AND WHITE
03.05.2018,IOTA
03.05.2018,OMICRON
03.05.2018,DELTA
03.05.2018,COLLEZZINE
03.05.2018,SOLAR
03.05.2018,OMICRON
02.05.2018,EPSILON
02.05.2018,IOTA
02.05.2018,DELTA
02.05.2018,BEITA
02.05.2018,COLLEZZINE
02.05.2018,DELTA
30.04.2018,EPSILON
30.04.2018,KAPPA
30.04.2018,DELTA
30.04.2018,COLLEZZINE
30.04.2018,DELIKADIN
30.04.2018,SOLAR
30.04.2018,PIO1
30.04.2018,DELTA
30.04.2018,BRANDIUM ATASEHIR MA
30.04.2018,BLACK AND WHITE
27.04.2018,HIGHWAY OUTLET KOZDE
26.04.2018,GAMMA
25.04.2018,CAROUSEL
25.04.2018,EPSILON
25.04.2018,DELTA
25.04.2018,DELIKADIN
25.04.2018,DELTA
25.04.2018,OMICRON
25.04.2018,IOTA
24.04.2018,EPSILON
24.04.2018,OMICRON
24.04.2018,IOTA
24.04.2018,G.T.A.TURIZM GIDA
24.04.2018,OMICRON
24.04.2018,EPSILON
24.04.2018,EPSILON
19.04.2018,IOTA
19.04.2018,DEPO COFFEE
18.04.2018,TELTA
18.04.2018,DELTA
18.04.2018,IOTA
17.04.2018,ZEILTA
